order_id,order_date,customer_id,channel,status
10001,2026-01-01,131,App,Completada
10002,2026-01-01,34,App,Completada
10003,2026-01-01,30,Web,Completada
10004,2026-01-01,108,App,Devuelta
10005,2026-01-02,157,Web,Completada
10006,2026-01-02,150,,Completada
10007,2026-01-02,187,Marketplace,Completada
10008,2026-01-02,92,Web,Completada
10009,2026-01-03,262,,Completada
10010,2026-01-03,234,Web,Completada
10011,2026-01-03,285,Web,Completada
10012,2026-01-03,44,Web,Completada
10013,2026-01-03,253,Web,Completada
10014,2026-01-03,267,App,Completada
10015,2026-01-03,15,App,Completada
10016,2026-01-03,259,App,Completada
10017,2026-01-03,41,Web,Completada
10018,2026-01-04,53,Web,Completada
10019,2026-01-04,249,Web,Completada
10020,2026-01-04,295,App,Completada
10021,2026-01-04,174,App,Completada
10022,2026-01-04,41,Web,Completada
10023,2026-01-04,261,Web,Completada
10024,2026-01-04,123,App,Completada
10025,2026-01-04,278,Web,Completada
10026,2026-01-05,108,App,Completada
10027,2026-01-05,21,Web,Completada
10028,2026-01-05,250,Web,Completada
10029,2026-01-06,294,Web,Cancelada
10030,2026-01-06,281,Web,Completada
10031,2026-01-06,28,App,Completada
10032,2026-01-06,72,Web,Completada
10033,2026-01-06,158,App,Cancelada
10034,2026-01-06,63,Web,Cancelada
10035,2026-01-06,200,Web,Completada
10036,2026-01-06,204,App,Completada
10037,2026-01-07,55,App,Cancelada
10038,2026-01-07,145,Web,Completada
10039,2026-01-07,236,App,Completada
10040,2026-01-07,19,App,Completada
10041,2026-01-07,174,App,Completada
10042,2026-01-07,268,App,Completada
10043,2026-01-08,121,App,Completada
10044,2026-01-08,8,App,Completada
10045,2026-01-08,52,App,Completada
10046,2026-01-08,185,Web,Completada
10047,2026-01-09,263,Web,Completada
10048,2026-01-09,150,App,Devuelta
10049,2026-01-09,47,Web,Completada
10050,2026-01-09,61,Web,Completada
10051,2026-01-10,238,App,Completada
10052,2026-01-10,250,Marketplace,Completada
10053,2026-01-10,249,App,Completada
10054,2026-01-10,299,Web,Completada
10055,2026-01-10,290,App,Completada
10056,2026-01-10,197,App,Completada
10057,2026-01-10,133,Web,Completada
10058,2026-01-10,295,Web,Cancelada
10059,2026-01-10,60,App,Completada
10060,2026-01-11,91,App,Completada
10061,2026-01-11,86,App,Cancelada
10062,2026-01-11,121,Web,Completada
10063,2026-01-11,29,App,Completada
10064,2026-01-11,178,Web,Completada
10065,2026-01-11,81,Marketplace,Completada
10066,2026-01-12,104,App,Completada
10067,2026-01-12,235,App,Completada
10068,2026-01-12,219,App,Devuelta
10069,2026-01-12,5,App,Completada
10070,2026-01-13,139,App,Completada
10071,2026-01-13,244,App,Completada
10072,2026-01-14,228,App,Completada
10073,2026-01-14,131,App,Completada
10074,2026-01-15,199,App,Completada
10075,2026-01-15,167,App,Completada
10076,2026-01-15,10,Web,Completada
10077,2026-01-16,55,,Cancelada
10078,2026-01-16,82,App,Cancelada
10079,2026-01-16,184,Web,Completada
10080,2026-01-17,187,App,Completada
10081,2026-01-17,251,Web,Completada
10082,2026-01-17,99,App,Completada
10083,2026-01-17,279,App,Completada
10084,2026-01-17,181,App,Completada
10085,2026-01-17,198,Web,Completada
10086,2026-01-17,294,Marketplace,Completada
10087,2026-01-17,206,Web,Completada
10088,2026-01-18,290,App,Completada
10089,2026-01-18,238,Marketplace,Completada
10090,2026-01-18,87,Marketplace,Cancelada
10091,2026-01-18,216,Marketplace,Completada
10092,2026-01-19,160,Web,Devuelta
10093,2026-01-19,129,Web,Completada
10094,2026-01-19,102,Web,Completada
10095,2026-01-19,240,Web,Completada
10096,2026-01-19,8,App,Completada
10097,2026-01-19,3,Web,Completada
10098,2026-01-19,121,Web,Completada
10099,2026-01-20,8,,Completada
10100,2026-01-20,67,Marketplace,Completada
10101,2026-01-20,32,Marketplace,Completada
10102,2026-01-20,47,Marketplace,Completada
10103,2026-01-20,30,App,Completada
10104,2026-01-21,271,Web,Completada
10105,2026-01-21,57,App,Completada
10106,2026-01-21,35,App,Completada
10107,2026-01-21,296,Web,Completada
10108,2026-01-21,202,App,Completada
10109,2026-01-21,244,Web,Completada
10110,2026-01-22,300,App,Completada
10111,2026-01-22,14,Web,Completada
10112,2026-01-22,219,App,Completada
10113,2026-01-22,293,App,Completada
10114,2026-01-22,45,App,Completada
10115,2026-01-23,263,Web,Completada
10116,2026-01-23,36,Web,Completada
10117,2026-01-23,183,App,Completada
10118,2026-01-23,197,App,Completada
10119,2026-01-24,162,App,Completada
10120,2026-01-24,75,App,Completada
10121,2026-01-24,54,Web,Completada
10122,2026-01-24,34,App,Completada
10123,2026-01-24,197,App,Completada
10124,2026-01-24,218,Web,Completada
10125,2026-01-24,123,Web,Completada
10126,2026-01-24,7,Web,Completada
10127,2026-01-25,300,Web,Completada
10128,2026-01-25,215,Marketplace,Completada
10129,2026-01-25,220,App,Completada
10130,2026-01-25,23,Web,Completada
10131,2026-01-25,52,App,Completada
10132,2026-01-25,51,App,Devuelta
10133,2026-01-25,174,App,Devuelta
10134,2026-01-25,58,Web,Completada
10135,2026-01-25,99,Web,Completada
10136,2026-01-25,138,Marketplace,Devuelta
10137,2026-01-25,43,App,Completada
10138,2026-01-25,112,Web,Completada
10139,2026-01-26,251,Web,Cancelada
10140,2026-01-26,31,Marketplace,Devuelta
10141,2026-01-26,153,App,Cancelada
10142,2026-01-27,91,Web,Completada
10143,2026-01-27,220,App,Completada
10144,2026-01-28,209,Web,Completada
10145,2026-01-28,258,App,Cancelada
10146,2026-01-28,72,Web,Completada
10147,2026-01-28,144,App,Completada
10148,2026-01-28,183,Web,Completada
10149,2026-01-28,2,Web,Cancelada
10150,2026-01-28,275,App,Completada
10151,2026-01-29,249,App,Completada
10152,2026-01-29,225,App,Devuelta
10153,2026-01-29,258,Web,Completada
10154,2026-01-29,37,App,Devuelta
10155,2026-01-29,106,Web,Completada
10156,2026-01-29,286,Web,Completada
10157,2026-01-29,138,App,Completada
10158,2026-01-29,280,App,Completada
10159,2026-01-30,251,Web,Devuelta
10160,2026-01-30,22,App,Completada
10161,2026-01-30,17,Web,Cancelada
10162,2026-01-30,1,Web,Completada
10163,2026-01-30,48,App,Completada
10164,2026-01-31,171,Web,Completada
10165,2026-01-31,293,Marketplace,Completada
